DateTime,Hsig_forecast,Tpeak_forecast,Wdir_forecast,wind_speed,wind_direction,swellheight1,swellheight2,swellheight3,swellperiod1,swellperiod2,swellperiod3,dir1,dir2,dir3,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-09-02 20:00:00,2.0221262,8.117809,125.931496,7.71839,37.99216,0.77,0.74,0.48999998,12.59,6.98,7.8799996,196.89,159.14,92.71,ESE,NNE,S,SSE,E,15.003315
2025-09-02 23:00:00,1.9351804,8.347031,124.95056,6.0101547,24.325397,0.78,0.68,0.35999998,12.86,6.8999996,7.68,196.12,153.91,87.92,ESE,NNE,S,SE,ENE,11.682779
2025-09-03 02:00:00,1.902202,8.1743965,125.81286,5.466919,11.258811,0.76,0.61,0.39999998,13.11,6.93,10.16,195.56,151.65,95.07,ESE,N,S,SE,E,10.626816
2025-09-03 05:00:00,1.7782612,8.437397,126.429596,2.0830827,344.7775,1.05,0.75,0.55,5.67,13.09,6.93,71.59,195.68,149.5,ESE,NNW,ENE,S,SE,4.0491796
2025-09-03 08:00:00,1.705548,8.25651,128.11946,10.613304,201.70323,0.88,0.74,0.5,5.83,13.2,6.87,74.11,195.45999,147.8,ESE,S,ENE,S,SE,20.630566
2025-09-03 11:00:00,2.016963,5.5206866,133.63489,13.571691,198.1473,0.65,0.48,0.41,5.87,9.37,6.96,74.86,92.46,140.11,ESE,S,ENE,E,SE,26.381195
2025-09-03 14:00:00,2.2945333,6.9282646,164.89143,12.938541,192.58578,0.7,0.59,0.32,13.41,8.32,9.98,194.87,80.659996,97.64,SSE,S,S,ENE,E,25.150455
2025-09-03 17:00:00,2.4296014,7.482432,167.80113,9.435368,190.52785,0.66999996,0.53999996,0.25,13.44,8.01,11.33,194.53,85.34,97.18,SSE,S,S,ENE,E,18.340845
2025-09-03 20:00:00,2.355856,7.784179,165.03386,6.6282825,207.94112,0.65999997,0.42999998,0.34,13.45,7.9199996,10.929999,194.68,85.65,96.509995,SSE,SSW,S,ENE,E,12.884321
2025-09-03 23:00:00,2.1620407,7.7174854,163.28705,5.6446047,222.37564,0.66999996,0.41,0.35,13.309999,7.81,10.9,195.14,88.33,95.619995,SSE,SSW,S,ENE,E,10.972209
2025-09-04 02:00:00,2.0746632,7.7876043,163.56442,4.878305,220.66153,0.65999997,0.41,0.35999998,13.059999,7.5899997,10.849999,195.22,89.86,97.78,SSE,SSW,S,ENE,E,9.482644
2025-09-04 05:00:00,1.9444809,7.6884084,163.91528,3.5121999,236.96782,1.52,0.66999996,0.39,7.37,12.799999,7.5099998,186.68,195.05,90.25,SSE,SW,S,S,E,6.8271546
2025-09-04 08:00:00,1.8553617,7.949546,160.36356,2.0652478,278.18607,1.39,0.63,0.42,7.5299997,12.61,10.5,186.70999,196.68,96.49,SSE,W,S,S,E,4.014511
