DateTime,Hsig_forecast,Tpeak_forecast,Wdir_forecast,wind_speed,wind_direction,swellheight1,swellheight2,swellheight3,swellperiod1,swellperiod2,swellperiod3,dir1,dir2,dir3,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-08-14 06:00:00,1.5222273,12.253327,195.34451,8.115058,128.71465,0.85999995,0.72999996,0.37,15.139999,10.469999,17.4,213.98,182.01999,211.59999,S,ESE,SSW,S,SSW,15.774374
2025-08-14 09:00:00,1.4810833,12.260148,203.87498,7.86485,125.28411,0.84999996,0.83,0.099999994,10.219999,15.33,11.96,193.2,211.0,141.84,SSW,ESE,S,SSW,SE,15.288011
2025-08-14 12:00:00,1.3975737,11.829437,203.80637,4.2960167,126.75647,0.87,0.77,0.089999996,10.099999,15.219999,16.279999,191.61,211.22,174.92,SSW,ESE,S,SSW,SSE,8.350769
2025-08-14 15:00:00,1.4333982,11.525963,201.42357,5.7725577,145.25012,0.84999996,0.71999997,0.26999998,10.12,14.49,16.8,188.20999,210.87999,214.97,S,SE,S,SSW,SSW,11.220929
2025-08-14 18:00:00,1.5219665,11.260007,197.57031,8.939681,136.03658,0.79999995,0.65,0.39,10.099999,14.21,16.31,183.09,211.40999,211.65999,S,SE,S,SSW,SSW,17.37731
2025-08-14 21:00:00,1.579454,10.581299,193.83179,9.708682,123.0861,0.84,0.63,0.32999998,10.09,14.389999,10.34,182.17,212.4,210.15,S,ESE,S,SSW,SSW,18.872126
2025-08-15 00:00:00,1.4939089,9.566805,195.571,9.64095,115.13458,0.84,0.61,0.29,9.61,14.4,10.37,179.83,212.18,207.06999,S,ESE,SSE,SSW,SSW,18.740465
2025-08-15 03:00:00,1.3896606,9.465741,199.19861,7.02603,109.73672,0.88,0.41,0.39999998,9.559999,15.33,13.4,180.19,211.4,211.72,S,E,S,SSW,SSW,13.657478
2025-08-15 06:00:00,1.3418801,9.378022,196.53438,5.9793777,101.54517,0.84999996,0.52,0.39,9.54,13.36,15.29,177.92,210.95,211.97,S,E,SSE,SSW,SSW,11.622953
2025-08-15 09:00:00,1.3365376,9.4284725,189.12364,3.6280649,94.90811,0.81,0.59999996,0.45,9.36,5.02,13.65,175.59,140.54,210.78,S,E,SSE,SE,SSW,7.0523777
2025-08-15 12:00:00,1.2776079,9.521638,189.0587,1.5421456,314.19864,0.79999995,0.51,0.51,9.429999,5.16,13.75,174.12999,143.42,211.20999,S,WNW,SSE,SE,SSW,2.9976845
2025-08-15 15:00:00,1.242684,9.472379,185.53696,1.6589068,316.30106,0.78,0.48,0.47,9.29,14.32,5.23,170.91,211.37,139.76,S,NW,SSE,SSW,SE,3.2246494
2025-08-15 18:00:00,1.4278562,9.37557,163.02759,3.4765272,24.071058,0.75,0.5,0.45999998,9.28,5.5899997,14.44,169.29,139.97,211.12,SSE,NNE,SSE,SE,SSW,6.757813
2025-08-15 21:00:00,1.5354524,9.653878,154.82301,11.003638,25.005032,0.71999997,0.45999998,0.42999998,9.26,5.73,14.46,166.92,138.84,211.06999,SE,NNE,SSE,SE,SSW,21.389313
2025-08-16 00:00:00,1.4935309,7.597658,5.9794273,12.682369,11.624894,0.77,0.39999998,0.24,9.57,14.4,10.03,159.08,211.19,209.51999,N,N,SSE,SSW,SSW,24.652496
2025-08-16 03:00:00,1.6303582,9.137327,13.627431,10.106571,346.27118,0.68,0.38,0.19,9.94,13.94,9.49,159.62,211.18,208.23999,N,NNW,SSE,SSW,SSW,19.645557
2025-08-16 06:00:00,1.6785398,9.435257,357.86374,8.510652,293.74994,0.61,0.35999998,0.17,9.79,13.849999,9.29,158.62,211.48999,208.23999,NNW,WNW,SSE,SSW,SSW,16.543344
2025-08-16 09:00:00,1.6580005,9.151133,348.63077,3.0400684,207.31924,0.56,0.34,0.17,9.71,13.95,9.389999,157.5,211.87,208.75,NNW,SSW,SSE,SSW,SSW,5.9094067
2025-08-16 12:00:00,1.6913698,8.131514,339.33154,2.4252877,318.3464,0.53999996,0.37,0.07,9.639999,14.08,8.59,157.04,211.48,7.08,NNW,NW,SE,SSW,N,4.714371
2025-08-16 15:00:00,1.4607028,8.203114,304.6268,3.1138592,261.70505,1.03,0.53999996,0.26999998,5.4,9.66,14.11,294.63,157.7,211.94,WNW,WSW,WNW,SSE,SSW,6.052844
2025-08-16 18:00:00,1.3887542,12.378456,216.27661,4.357427,225.96805,0.97999996,0.55,0.42999998,5.46,9.88,8.75,276.19,156.97,219.11,SSW,SW,W,SE,SSW,8.470141
2025-08-16 21:00:00,1.329706,7.227588,215.7162,5.6200747,199.84018,0.93,0.59,0.56,7.0899997,5.54,9.82,225.37,313.59,157.45,SSW,S,SW,WNW,SE,10.924526
2025-08-17 00:00:00,1.3662184,8.10189,208.65889,5.963037,185.85202,1.01,0.53999996,0.5,7.0299997,9.7,5.49,217.19,156.26999,313.97,SSW,S,SSW,SE,WNW,11.59119
2025-08-17 03:00:00,1.3046722,7.903013,204.8034,5.5277963,169.33258,1.01,0.53,0.42,7.0,9.87,5.45,210.64,155.68,314.19,SSW,SSE,SSW,SE,WNW,10.7451515
2025-08-17 06:00:00,1.2391715,7.664878,201.22508,5.5426936,154.15793,0.88,0.51,0.35999998,6.89,9.7,5.3199997,215.36,154.92,314.93,S,SE,SSW,SE,WNW,10.77411
2025-08-17 09:00:00,1.162142,7.5116315,198.3911,5.134293,144.83553,0.82,0.48999998,0.31,6.7599998,9.58,5.29,213.37999,155.12,314.47998,S,SE,SSW,SE,WNW,9.980245
2025-08-17 12:00:00,1.1410047,9.244044,200.5455,4.639089,156.2679,0.71,0.47,0.35,6.62,9.4,7.97,213.86,155.26999,198.44,S,SE,SSW,SE,S,9.017647
2025-08-17 15:00:00,1.1394281,7.9658875,194.64891,6.558242,164.16762,0.75,0.44,0.22,7.3799996,9.5199995,13.219999,208.5,154.97,213.14,S,SSE,SSW,SE,SSW,12.748173
2025-08-17 18:00:00,1.1050988,7.645608,193.69397,7.3493295,149.35197,0.68,0.42,0.22,7.2599998,9.37,13.08,206.90999,156.06999,213.01999,S,SE,SSW,SE,SSW,14.285921
2025-08-17 21:00:00,1.1515019,8.810659,198.92072,7.7454877,135.22404,0.62,0.42,0.21,7.1499996,9.58,12.98,205.95999,157.0,213.18,S,SE,SSW,SE,SSW,15.055989
