DateTime,Hsig_forecast,Tpeak_forecast,Wdir_forecast,wind_speed,wind_direction,swellheight1,swellheight2,swellheight3,swellperiod1,swellperiod2,swellperiod3,dir1,dir2,dir3,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-07-02 08:00:00,0.49124515,13.745337,112.02188,6.1646385,86.76508,0.51,0.39,0.32999998,12.67,6.14,10.099999,183.73,144.12999,146.29,E,ENE,S,SE,SE,11.983071
2025-07-02 11:00:00,0.46756554,13.680492,108.16503,7.235923,83.945175,0.51,0.35999998,0.35,12.58,6.1299996,9.86,182.42,145.59,145.12999,E,ENE,S,SE,SE,14.065476
2025-07-02 14:00:00,0.53309935,13.762342,109.386,7.391404,82.21719,0.51,0.45999998,0.11,12.58,9.57,7.39,181.34999,146.34,338.47,E,ENE,S,SE,NNW,14.367707
2025-07-02 17:00:00,0.54958963,13.748772,108.56611,7.611414,81.49262,0.52,0.42999998,0.11,12.53,9.79,7.3799996,180.65999,147.2,341.16998,E,ENE,S,SE,NNW,14.795371
2025-07-02 20:00:00,0.6170629,13.64882,106.86721,7.073816,82.59094,0.53,0.45,0.099999994,12.48,9.559999,17.71,179.73,145.23,214.28,E,ENE,SSE,SE,SSW,13.750366
2025-07-02 23:00:00,0.5908573,13.594877,108.00203,7.3047075,87.57901,0.52,0.45999998,0.14,12.36,9.37,8.33,179.87,144.45999,352.24,E,ENE,SSE,SE,NNW,14.1991825
2025-07-03 02:00:00,0.5762962,13.460539,103.70834,6.3334737,94.81618,0.52,0.34,0.29,12.219999,6.0899997,9.21,179.4,146.23,143.51,E,E,SSE,SE,SE,12.311259
2025-07-03 05:00:00,0.5558498,13.366163,104.47672,6.2797184,91.82436,0.53999996,0.31,0.29,12.179999,9.38,5.74,176.76999,143.01,145.06999,E,E,SSE,SE,SE,12.206768
2025-07-03 08:00:00,0.58116496,13.277828,106.58816,7.2606597,94.360916,0.51,0.42999998,0.26,12.11,9.51,7.7,178.04,144.37,358.28998,E,E,SSE,SE,NNW,14.113561
2025-07-03 11:00:00,0.6260626,13.118408,105.70506,7.8019905,87.452675,0.51,0.45,0.29999998,12.0,9.19,7.47,176.91,141.89,359.09,E,ENE,SSE,SE,NNW,15.165821
2025-07-03 14:00:00,0.6943423,13.057291,101.87318,8.382465,90.86923,0.51,0.32999998,0.32,11.83,7.3799996,5.64,175.31999,0.21,143.89,E,E,SSE,N,SE,16.294172
2025-07-03 17:00:00,0.70944613,13.061219,101.38075,8.22909,91.29912,0.5,0.35,0.32,11.809999,7.37,5.8799996,174.68,1.54,145.26,E,E,SSE,N,SE,15.996034
