DateTime,Hsig_forecast,Tpeak_forecast,Wdir_forecast,wind_speed,wind_direction,swellheight1,swellheight2,swellheight3,swellperiod1,swellperiod2,swellperiod3,dir1,dir2,dir3,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-07-28 22:00:00,0.7547893,7.365567,106.05463,2.174518,261.19305,0.45999998,0.19999999,0.099999994,8.58,5.75,3.82,99.869995,25.99,328.81,E,WSW,E,NNE,NW,4.2269154
2025-07-29 01:00:00,0.7099522,7.214954,149.79582,2.582749,264.977,0.78,0.44,0.17999999,6.3399997,8.49,5.69,194.12999,102.18,26.74,SE,WSW,S,E,NNE,5.0204506
2025-07-29 04:00:00,0.72412276,7.949067,131.04724,1.307995,295.11426,0.77,0.42999998,0.16,7.0899997,8.45,5.58,189.34999,102.82,22.109999,ESE,WNW,S,E,N,2.542533
2025-07-29 07:00:00,0.7712154,8.184184,137.02625,2.137694,247.18286,0.82,0.39999998,0.26999998,7.27,8.46,11.719999,185.01,101.15,102.909996,SE,SW,S,E,E,4.155335
2025-07-29 10:00:00,0.85160744,8.337365,140.67436,1.6857163,254.81525,0.87,0.53,0.11,7.6499996,11.3,5.2799997,182.81999,101.61,18.35,SE,WSW,S,E,N,3.2767627
2025-07-29 13:00:00,0.9425217,8.460724,142.75636,1.1231868,24.450205,0.90999997,0.56,0.099999994,8.24,10.96,5.0899997,180.81,102.84,24.57,SE,NNE,S,E,NNE,2.1832955
2025-07-29 16:00:00,0.94800174,8.409617,143.17564,2.6940722,33.474594,0.9,0.59999996,0.089999996,8.13,10.62,5.0,180.53,102.07,26.18,SE,NNE,S,E,NNE,5.2368455
2025-07-29 19:00:00,0.92952377,8.59844,132.77464,3.9416246,339.9457,0.87,0.63,0.07,8.21,10.16,4.88,180.54,102.229996,23.59,ESE,NNW,S,E,NNE,7.6618876
2025-07-29 22:00:00,0.9393837,8.502617,126.74309,4.3522387,323.82724,0.83,0.65,0.0,8.2,9.889999,0.0,180.59999,101.9,0.0,ESE,NW,S,E,N,8.460055
2025-07-30 01:00:00,0.9602308,8.572549,121.96306,3.7334528,308.47632,0.79999995,0.66999996,0.0,8.04,9.69,0.0,180.84,102.24,0.0,ESE,WNW,S,E,N,7.257235
2025-07-30 04:00:00,0.95193267,8.7155905,119.00111,2.6808758,295.39124,0.77,0.68,0.08,7.95,9.59,8.36,180.83,103.34,33.69,ESE,WNW,S,E,NNE,5.2111936
2025-07-30 07:00:00,0.9818563,9.2770815,117.01586,4.1812634,305.2999,0.77,0.61,0.34,7.89,9.55,11.7,179.62,103.18,105.63,ESE,WNW,SSE,E,E,8.1277075
2025-07-30 10:00:00,1.0504227,9.599276,117.68406,2.8370678,314.50427,0.78999996,0.59999996,0.39999998,7.89,9.389999,11.32,178.2,103.829994,104.869995,ESE,WNW,SSE,E,E,5.514806
2025-07-30 13:00:00,1.1166896,9.541989,119.77534,3.1814516,315.29788,0.78,0.72999996,0.07,9.469999,9.42,8.22,177.31,104.06,33.559998,ESE,NW,SSE,E,NNE,6.1842327
2025-07-30 16:00:00,1.1557829,9.684831,120.51815,2.5203185,325.15167,0.76,0.72999996,0.07,9.4,9.61,8.19,176.84,103.75,34.34,ESE,NW,SSE,E,NNE,4.899096
2025-07-30 19:00:00,1.084605,9.7928095,120.512,5.5304575,270.5223,0.72999996,0.71999997,0.07,9.32,9.73,8.32,176.81,103.34,35.11,ESE,W,SSE,E,NNE,10.750324
2025-07-30 22:00:00,1.0291957,9.877945,119.99399,5.6954846,260.62427,0.7,0.69,0.56,9.88,9.24,4.8399997,102.659996,177.12999,0.57,ESE,WSW,E,SSE,N,11.071111
2025-07-31 01:00:00,0.9695182,9.625553,118.022804,4.333367,260.00342,0.68,0.65999997,0.48999998,9.889999,9.08,5.2599998,102.71,178.48,2.96,ESE,WSW,E,SSE,N,8.423372
2025-07-31 04:00:00,0.99910164,9.381642,115.54205,5.179342,252.92757,0.64,0.61,0.42999998,9.82,8.929999,5.5299997,102.259995,175.66,3.4299998,ESE,WSW,E,SSE,N,10.067812
2025-07-31 07:00:00,1.0151244,9.539217,118.42393,6.0167036,250.86209,0.61,0.48999998,0.42,9.78,8.79,5.99,102.009995,180.93,192.25,ESE,WSW,E,S,S,11.695509
2025-07-31 10:00:00,0.97252023,9.353155,122.87289,4.1573653,220.32387,0.95,0.58,0.25,10.139999,9.76,5.52,193.06999,102.119995,359.96,ESE,SSW,S,E,NNW,8.081253
2025-07-31 13:00:00,0.982781,8.846742,125.85933,2.6484997,196.20377,0.93,0.56,0.19,9.849999,9.74,5.62,183.69,102.119995,358.63,ESE,S,S,E,NNW,5.1482596
