DateTime,Hsig_forecast,Tpeak_forecast,Wdir_forecast,wind_speed,wind_direction,swellheight1,swellheight2,swellheight3,swellperiod1,swellperiod2,swellperiod3,dir1,dir2,dir3,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-07-29 08:00:00,2.7712748,14.235986,146.5965,3.8821697,132.73596,2.72,0.32999998,0.0,14.15,8.19,0.0,196.40999,85.42,0.0,SE,ESE,S,ENE,N,7.546317
2025-07-29 11:00:00,2.69797,13.775033,140.35219,5.114342,129.78914,2.6499999,0.31,0.14,13.59,8.11,10.9,194.20999,81.409996,132.69,SE,ESE,S,ENE,ESE,9.941463
2025-07-29 14:00:00,2.671096,13.537426,139.0131,6.349605,127.14239,2.62,0.31,0.13,13.38,8.05,10.7699995,191.26,82.049995,132.43,SE,ESE,S,ENE,ESE,12.342616
2025-07-29 17:00:00,2.7096334,13.244557,135.66486,6.458013,126.1637,2.6599998,0.0,0.0,13.219999,0.0,0.0,185.42,0.0,0.0,SE,ESE,S,N,N,12.553345
2025-07-29 20:00:00,2.7849588,13.093425,137.6261,8.436787,136.04245,1.78,1.1,0.0,12.71,7.85,0.0,205.15,196.15999,0.0,SE,SE,SSW,S,N,16.399763
2025-07-29 23:00:00,2.799017,12.479276,134.67894,8.214634,134.18042,1.65,0.0,0.0,12.48,0.0,0.0,204.51999,0.0,0.0,ESE,ESE,SSW,N,N,15.967935
2025-07-30 02:00:00,2.7759762,12.138062,133.21411,6.9302783,138.6041,1.5699999,0.0,0.0,12.349999,0.0,0.0,203.73999,0.0,0.0,ESE,SE,SSW,N,N,13.471353
2025-07-30 05:00:00,2.738126,11.398241,132.55019,7.5082803,146.73657,1.4499999,0.0,0.0,12.0199995,0.0,0.0,204.06999,0.0,0.0,ESE,SE,SSW,N,N,14.594895
2025-07-30 08:00:00,2.7655756,11.078143,132.01067,8.45359,145.50606,1.38,0.0,0.0,11.74,0.0,0.0,203.23999,0.0,0.0,ESE,SE,SSW,N,N,16.432426
2025-07-30 11:00:00,2.7019029,7.8140907,126.939384,8.479007,143.63727,1.36,0.0,0.0,11.62,0.0,0.0,202.65999,0.0,0.0,ESE,SE,SSW,N,N,16.481833
2025-07-30 14:00:00,2.597057,7.899727,129.11748,8.619486,146.06476,1.3399999,1.0,0.0,11.469999,7.6499996,0.0,201.14,197.36,0.0,ESE,SE,S,S,N,16.754902
2025-07-30 17:00:00,2.6147015,8.074217,129.25491,8.215404,145.01886,1.26,1.0,0.58,11.16,7.3799996,14.7,199.70999,199.0,183.7,ESE,SE,S,S,S,15.96943
2025-07-30 20:00:00,2.7115097,8.87733,128.90862,7.7498775,140.98901,1.27,0.97999996,0.91999996,11.05,14.4,7.6299996,198.22,181.11,198.01999,ESE,SE,S,S,S,15.064522
2025-07-30 23:00:00,2.7511854,14.957464,136.39171,7.4129057,141.4168,1.56,1.42,0.0,10.929999,14.45,0.0,195.79,180.73999,0.0,SE,SE,S,S,N,14.409503
2025-07-31 02:00:00,2.878726,14.631467,131.69734,6.1470385,128.55446,2.28,0.0,0.0,14.36,0.0,0.0,187.34,0.0,0.0,ESE,ESE,S,N,N,11.948859
2025-07-31 05:00:00,3.0025084,14.551132,131.73207,6.7115455,123.08992,2.45,0.0,0.0,14.23,0.0,0.0,185.81,0.0,0.0,ESE,ESE,S,N,N,13.046171
2025-07-31 08:00:00,3.071771,14.506411,132.07513,6.783854,123.25157,2.55,0.0,0.0,14.23,0.0,0.0,185.40999,0.0,0.0,ESE,ESE,S,N,N,13.186727
2025-07-31 11:00:00,3.1232667,14.587689,132.25552,7.38466,110.75671,2.62,0.0,0.0,14.36,0.0,0.0,184.98999,0.0,0.0,ESE,E,S,N,N,14.354597
2025-07-31 14:00:00,3.1109774,14.53668,132.84912,6.6511145,109.95353,2.6599998,0.0,0.0,14.29,0.0,0.0,184.9,0.0,0.0,ESE,E,S,N,N,12.928702
2025-07-31 17:00:00,3.063356,14.424562,133.258,6.014775,97.57091,2.6599998,0.0,0.0,14.139999,0.0,0.0,184.59999,0.0,0.0,ESE,E,S,N,N,11.69176
2025-07-31 20:00:00,2.9898903,14.252438,132.60086,5.5328484,88.46724,2.62,0.0,0.0,13.96,0.0,0.0,184.5,0.0,0.0,ESE,ENE,S,N,N,10.754972
2025-07-31 23:00:00,2.9267173,14.173478,132.8134,5.741736,81.70521,2.56,0.0,0.0,13.83,0.0,0.0,184.23,0.0,0.0,ESE,ENE,S,N,N,11.161016
2025-08-01 02:00:00,2.8546124,14.115533,132.83472,5.530924,67.28992,2.46,0.0,0.0,13.719999,0.0,0.0,184.61,0.0,0.0,ESE,NE,S,N,N,10.751231
2025-08-01 05:00:00,2.7516878,14.153225,133.05693,5.252312,71.21685,2.3799999,0.11,0.0,13.61,13.7,0.0,184.39,134.19,0.0,ESE,ENE,S,ESE,N,10.209655
2025-08-01 08:00:00,2.659347,13.978388,132.52074,6.2858644,59.427597,2.29,0.0,0.0,13.49,0.0,0.0,184.08,0.0,0.0,ESE,NE,S,N,N,12.218715
2025-08-01 11:00:00,2.5728977,13.998305,133.09402,7.487725,47.517036,2.1,0.63,0.14999999,13.38,16.699999,13.46,185.01,167.11,136.16,ESE,NE,S,SSE,SE,14.554939
2025-08-01 14:00:00,2.5091076,13.845025,132.65727,6.140114,17.5356,2.02,0.55,0.16,13.25,16.82,13.12,184.55,165.56999,136.94,ESE,N,S,SSE,SE,11.935399
2025-08-01 17:00:00,2.3938873,13.773121,133.1358,4.511433,8.894337,1.8499999,0.76,0.0,13.059999,16.19,0.0,185.01999,166.56,0.0,ESE,N,S,SSE,N,8.769505
2025-08-01 20:00:00,2.3061824,13.564971,133.78058,4.061075,353.27237,1.78,0.66999996,0.14999999,13.0,15.799999,12.139999,184.34999,164.20999,134.4,ESE,NNW,S,SSE,ESE,7.8940806
2025-08-01 23:00:00,2.1964133,13.357045,133.64635,3.3406148,338.98813,1.79,0.0,0.0,12.94,0.0,0.0,181.09999,0.0,0.0,ESE,NNW,S,N,N,6.493621
2025-08-02 02:00:00,2.0732605,13.563339,137.65834,3.4022632,325.6623,1.7199999,1.18,0.0,12.83,6.25,0.0,179.62999,87.71,0.0,SE,NW,SSE,ENE,N,6.6134553
2025-08-02 05:00:00,1.9463657,13.438033,137.57857,2.854556,325.00168,1.62,1.09,0.0,12.679999,6.2799997,0.0,178.69,92.259995,0.0,SE,NW,SSE,E,N,5.5488005
2025-08-02 08:00:00,1.845718,13.248884,137.97923,3.3994598,330.51257,1.52,1.05,0.0,12.53,6.31,0.0,178.37,91.659996,0.0,SE,NW,SSE,E,N,6.608006
2025-08-02 11:00:00,1.7629805,12.896141,138.79735,4.2910843,320.0468,1.4399999,0.91999996,0.0,12.349999,6.25,0.0,177.45,98.2,0.0,SE,NW,SSE,E,N,8.341182
2025-08-02 14:00:00,1.6736526,12.675235,146.97385,5.6770616,317.06857,1.36,0.96999997,0.0,12.0199995,6.29,0.0,176.95999,85.24,0.0,SE,NW,SSE,ENE,N,11.035299
2025-08-02 17:00:00,1.612539,12.592298,154.30885,5.4729633,317.38834,1.27,0.94,0.089999996,11.83,6.3799996,14.49,176.69,84.43,195.0,SE,NW,SSE,ENE,S,10.638565
2025-08-02 20:00:00,1.547079,12.549329,149.65843,4.268841,333.19443,1.15,0.98999995,0.17999999,11.7,6.42,14.679999,175.28,74.1,191.68,SE,NW,SSE,ENE,S,8.297944
2025-08-02 23:00:00,1.5471032,12.739945,143.36366,3.889403,334.71213,1.09,0.79999995,0.0,11.53,6.44,0.0,174.53,93.07,0.0,SE,NW,SSE,E,N,7.5603776
2025-08-03 02:00:00,1.4970702,12.458252,146.23827,3.7676766,338.6625,0.97999996,0.82,0.14,11.19,6.47,13.0,174.47,88.68,137.51,SE,NNW,SSE,ENE,SE,7.3237605
