DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-09-04 12:00:00,1.6027052,1.0799999,0.72999996,0.69,15.527916,14.13,16.779999,8.429999,200.35939,212.25,205.2,181.37,2.0415134,227.65663,S,SW,SSW,SSW,S,3.9683754
2025-09-04 15:00:00,1.6060872,1.04,0.78,0.74,15.724104,13.95,8.4,16.55,200.01756,211.33,171.76999,206.12999,3.1736963,244.36154,S,SW,SSW,SSE,SSW,6.169158
2025-09-04 18:00:00,1.6246927,0.94,0.85999995,0.78999996,16.200834,15.9,13.36,8.65,200.81503,205.81,213.06999,180.36,3.8135045,273.43814,S,W,SSW,SSW,S,7.4128428
2025-09-04 21:00:00,1.6520418,0.90999997,0.9,0.84,16.375093,15.849999,13.4,8.429999,201.74489,205.95999,211.97,173.66,3.32482,306.3666,S,WNW,SSW,SSW,SSE,6.4629183
2025-09-05 00:00:00,1.6749681,1.29,0.84,0.14,16.322342,15.469999,8.26,11.9,201.09395,208.70999,172.04,159.20999,2.855839,125.58482,S,ESE,SSW,SSE,SSE,5.5512943
2025-09-05 03:00:00,1.6991534,1.29,0.85999995,0.14999999,16.34666,15.21,8.15,11.82,199.76753,208.92,171.72,162.54,1.429186,64.16814,S,NE,SSW,SSE,SSE,2.7781088
2025-09-05 06:00:00,1.72771,1.26,0.89,0.0,16.361813,15.08,8.03,0.0,199.38599,208.97,172.58,0.0,1.1255139,60.949696,S,NE,SSW,SSE,N,2.187819
2025-09-05 09:00:00,1.7430549,1.22,0.89,0.14999999,16.244759,15.059999,7.77,11.259999,199.19568,208.81,175.3,158.19,1.0128555,125.466934,S,ESE,SSW,SSE,SSE,1.9688292
2025-09-05 12:00:00,1.7411118,1.1899999,0.90999997,0.14999999,16.001951,14.98,7.52,11.16,198.87633,208.42,178.11,158.09,2.0065625,167.04718,S,SSE,SSW,SSE,SSE,3.9004364
2025-09-05 15:00:00,1.7364782,1.18,0.94,0.14,15.842807,14.7,7.5,11.16,198.57932,208.12,180.70999,160.65,1.8846341,224.69461,S,SSW,SSW,S,SSE,3.6634274
2025-09-05 18:00:00,1.7201288,1.16,0.97999996,0.0,15.742916,14.54,7.5699997,0.0,198.65627,207.87,183.01,0.0,2.5737224,260.0412,S,WSW,SSW,S,N,5.0029044
2025-09-05 21:00:00,1.6988857,1.15,1.0,0.0,15.659305,14.48,7.48,0.0,199.25026,207.73,185.04,0.0,2.4222875,310.4801,S,WNW,SSW,S,N,4.7085395
2025-09-06 00:00:00,1.664235,1.13,0.72999996,0.69,15.405953,14.49,7.23,8.0199995,199.4141,207.54,211.23,158.91,1.6507001,36.119385,S,NNE,SSW,SSW,SSE,3.2086968
2025-09-06 03:00:00,1.6246881,1.12,0.75,0.68,15.056396,14.49,7.33,8.83,198.58705,206.93,209.92,155.94,1.7706621,84.054955,S,ENE,SSW,SSW,SE,3.4418838
2025-09-06 06:00:00,1.5895416,1.1,1.05,0.0,14.828596,14.389999,7.23,0.0,197.86821,206.9,181.62999,0.0,1.4291413,61.31313,S,NE,SSW,S,N,2.778022
2025-09-06 09:00:00,1.5595278,1.0799999,1.0699999,0.0,14.754402,14.19,7.24,0.0,197.5868,206.31999,181.26,0.0,1.9197869,121.154945,S,ESE,SSW,S,N,3.7317586
2025-09-06 12:00:00,1.5320333,1.05,0.87,0.59,14.678859,14.009999,8.01,7.0299997,197.50047,206.03,162.39,230.26999,1.8088417,167.2517,S,SSE,SSW,SSE,SW,3.516099
