DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-04-28 19:00:00,1.5831258,1.29,0.0,0.0,12.905209,12.679999,0.0,0.0,192.04079,191.73,0.0,0.0,4.548557,117.07057,S,ESE,S,N,N,8.841667
2025-04-28 22:00:00,1.5970521,1.15,0.0,0.0,12.925622,12.66,0.0,0.0,189.22035,200.45999,0.0,0.0,4.5945654,114.57969,S,ESE,S,N,N,8.9311
2025-04-29 01:00:00,1.6046342,1.15,0.0,0.0,12.985342,12.63,0.0,0.0,188.61752,199.86,0.0,0.0,3.913588,104.31901,S,E,S,N,N,7.607389
2025-04-29 04:00:00,1.5939542,1.16,0.0,0.0,13.138981,12.719999,0.0,0.0,189.71901,199.23999,0.0,0.0,3.309541,119.65893,S,ESE,S,N,N,6.4332185
2025-04-29 07:00:00,1.6000315,1.18,0.0,0.0,13.218843,13.07,0.0,0.0,190.07959,198.8,0.0,0.0,3.139445,118.27783,S,ESE,S,N,N,6.102579
2025-04-29 10:00:00,1.6166283,1.1899999,0.089999996,0.0,13.212516,13.09,18.02,0.0,189.3611,198.34999,226.45,0.0,5.0112705,120.21108,S,ESE,S,SW,N,9.741108
2025-04-29 13:00:00,1.6065869,1.18,0.17999999,0.0,13.014851,12.67,17.49,0.0,190.21107,197.75,222.37,0.0,4.999924,132.836,S,ESE,S,SSW,N,9.719052
2025-04-29 16:00:00,1.6041559,1.1999999,0.0,0.0,12.839024,12.599999,0.0,0.0,190.2958,198.18,0.0,0.0,5.430977,135.20557,S,SE,S,N,N,10.556951
2025-04-29 19:00:00,1.6200798,1.37,0.16,0.0,12.680379,12.71,16.83,0.0,189.34698,187.53,226.72,0.0,5.297964,117.36305,S,ESE,S,SW,N,10.298394
2025-04-29 22:00:00,1.646184,1.38,0.24,0.0,12.701822,13.15,16.67,0.0,189.1621,185.75,222.09999,0.0,3.9333944,98.77739,S,E,S,SSW,N,7.6458898
