DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-04-05 11:00:00,0.7044833,0.42999998,0.22,0.14,12.294415,13.53,16.75,12.5,250.5956,190.44,216.56999,282.58,2.843905,29.466454,WSW,NNE,S,SSW,W,5.528096
2025-04-05 14:00:00,0.6796062,0.42999998,0.22999999,0.17,13.338364,13.49,16.67,12.04,248.3991,189.59,217.81,281.44,3.0358815,279.05508,WSW,W,S,SSW,W,5.901268
2025-04-05 17:00:00,0.70332813,0.42,0.24,0.19999999,13.594508,13.45,16.66,11.8,251.76619,189.33,215.94,280.71,8.645651,268.83368,WSW,WSW,S,SSW,W,16.805761
2025-04-05 20:00:00,0.7892398,0.42,0.22,0.17,13.462384,13.4,11.59,16.619999,257.9386,189.40999,280.97,228.84999,9.11717,272.39493,WSW,W,S,W,SW,17.72232
2025-04-05 23:00:00,0.796357,0.42,0.25,0.17,12.01588,13.259999,11.219999,16.65,262.36905,189.18,280.63,198.97,3.4712515,297.44092,WSW,WNW,S,W,S,6.7475576
2025-04-06 02:00:00,0.80220103,0.41,0.28,0.17,7.3171606,12.92,11.04,16.35,265.4692,188.31,279.74,228.20999,2.422015,76.06995,WSW,ENE,S,W,SW,4.7080097
2025-04-06 05:00:00,0.7497943,0.39999998,0.32,0.22,7.2402925,12.74,10.92,15.79,260.75055,187.64,280.25,222.4,2.415995,116.57541,WSW,ESE,S,W,SSW,4.6963077
2025-04-06 08:00:00,0.6824005,0.39,0.32,0.26999998,10.036641,12.67,10.79,15.71,252.16586,187.11,279.47998,214.61,2.0939772,135.44284,WSW,SE,S,W,SSW,4.070357
2025-04-06 11:00:00,0.6439852,0.39,0.32999998,0.32999998,12.168463,12.63,14.88,10.469999,245.25784,187.53,290.00998,278.85,1.1172951,158.93108,SW,SSE,S,W,W,2.171843
2025-04-06 14:00:00,0.64179933,0.5,0.39,0.34,13.295402,14.5,12.59,10.41,244.46109,289.44998,187.90999,279.04,3.9769752,228.02216,SW,SW,W,S,W,7.7306037
2025-04-06 17:00:00,0.71769893,0.71,0.38,0.35,15.889152,13.7,12.54,20.24,254.04712,287.57,187.34,293.69,5.9020085,259.89923,WSW,WSW,W,S,WNW,11.472561
2025-04-06 20:00:00,0.8832991,0.88,0.68,0.37,18.048752,13.44,19.289999,12.48,264.00885,286.38998,293.08,186.86,4.793402,281.3767,WSW,W,W,WNW,S,9.317607
2025-04-06 23:00:00,0.9576161,1.06,0.93,0.35,18.198044,18.66,12.719999,12.309999,268.27444,292.91998,286.13,185.98,1.7028748,251.97256,WSW,WSW,WNW,W,S,3.310116
2025-04-07 02:00:00,1.1266186,1.4399999,0.91999996,0.34,17.585972,17.74,12.33,12.059999,273.9075,292.62,285.63998,185.47,0.85255104,178.72728,W,SSE,WNW,W,S,1.6572229
