DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-09-08 04:00:00,1.5570556,1.11,0.78,0.0,8.406749,6.44,11.74,0.0,78.570366,49.95,176.17,0.0,8.610466,329.22476,ENE,NW,NE,SSE,N,16.737368
2025-09-08 07:00:00,1.4579033,0.71,0.0,0.0,7.958291,11.59,0.0,0.0,69.22107,176.87,0.0,0.0,8.731443,331.4145,ENE,NW,SSE,N,N,16.972528
2025-09-08 10:00:00,1.3370515,0.97999996,0.64,0.0,7.6993637,6.99,11.44,0.0,65.548965,46.18,177.26999,0.0,7.756768,308.84216,NE,WNW,NE,SSE,N,15.077916
2025-09-08 13:00:00,1.2403674,0.90999997,0.57,0.0,7.6759863,7.16,11.45,0.0,66.21197,46.76,177.26,0.0,8.518013,304.77435,NE,WNW,NE,SSE,N,16.557655
2025-09-08 16:00:00,1.203225,0.84999996,0.47,0.21,7.8027353,7.14,11.24,13.88,61.789486,47.239998,178.31999,170.64,7.022835,309.58038,NE,WNW,NE,SSE,SSE,13.651267
2025-09-08 19:00:00,1.1925753,0.89,0.44,0.17,7.968483,7.19,11.08,14.009999,58.644512,40.89,177.53,170.31999,6.9391723,306.37473,NE,WNW,NNE,SSE,SSE,13.488641
2025-09-08 22:00:00,1.1816391,0.85999995,0.39,0.19999999,7.9990435,7.5,10.94,13.509999,56.10169,37.91,177.2,171.95999,7.687347,321.46796,NE,NW,NNE,SSE,SSE,14.942973
2025-09-09 01:00:00,1.1655223,0.71999997,0.38,0.19,8.085241,7.79,10.65,13.4,54.274395,48.0,177.11,169.51999,7.2358317,307.1869,NE,WNW,NE,SSE,SSE,14.065299
2025-09-09 04:00:00,1.068045,0.69,0.39999998,0.16,8.288342,7.81,10.429999,13.5,65.4696,50.59,175.83,170.09999,4.751905,285.43213,NE,W,NE,SSE,SSE,9.236943
2025-09-09 07:00:00,0.98779184,0.69,0.42999998,0.0,8.680184,7.8799996,10.32,0.0,73.95857,51.34,174.33,0.0,5.2947416,318.33835,ENE,NW,NE,SSE,N,10.29213
