DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-08-20 08:00:00,1.413762,0.55,0.39999998,0.26,6.0035496,7.4199996,12.57,16.46,76.6889,142.95999,188.03,177.56,7.553758,82.95634,ENE,ENE,SE,S,SSE,14.683297
2025-08-20 11:00:00,1.4447134,0.55,0.39,0.29,5.905073,7.46,12.53,16.35,77.25902,143.59,187.39,178.06,8.273684,82.633675,ENE,ENE,SE,S,SSE,16.082718
2025-08-20 14:00:00,1.517744,0.56,0.37,0.34,6.020075,7.44,12.33,16.02,77.446106,143.87999,188.84,177.31,8.407335,84.92132,ENE,ENE,SE,S,SSE,16.342514
2025-08-20 17:00:00,1.51481,0.53,0.37,0.35,6.1804895,7.8599997,15.5199995,12.21,77.84547,145.95999,177.76999,189.03,8.263649,84.06543,ENE,ENE,SE,SSE,S,16.063211
2025-08-20 20:00:00,1.5755763,0.53999996,0.38,0.35,6.12463,7.99,15.389999,12.15,77.73483,146.98,177.67,188.33,8.62383,80.66146,ENE,ENE,SE,SSE,S,16.763346
2025-08-20 23:00:00,1.6976508,0.56,0.42,0.31,6.097146,8.04,15.259999,11.75,79.844124,147.12,177.98,189.87999,9.529801,85.531944,ENE,ENE,SE,SSE,S,18.52441
2025-08-21 02:00:00,1.7198814,0.59,0.42999998,0.29,6.220973,8.15,14.7699995,11.73,79.328575,147.62,177.95,190.51,8.647049,80.72743,ENE,ENE,SE,SSE,S,16.80848
2025-08-21 05:00:00,1.5809536,0.63,0.42999998,0.29,6.264825,8.17,14.48,11.71,78.36959,146.73999,178.59999,189.01,8.339533,78.23193,ENE,ENE,SE,SSE,S,16.210718
2025-08-21 08:00:00,1.5979795,0.64,0.42,0.31,6.242667,7.94,14.37,11.7699995,79.273895,146.89,179.05,185.7,9.026697,79.87071,ENE,ENE,SE,SSE,S,17.546455
2025-08-21 11:00:00,1.657676,0.64,0.52,0.29999998,6.2651873,7.74,14.23,9.08,79.16434,147.56999,181.17,11.139999,8.925196,83.79144,ENE,ENE,SE,S,N,17.349154
2025-08-21 14:00:00,1.5904906,0.59,0.53,0.31,6.3864336,7.7999997,13.82,9.3,78.71962,147.98,180.98,11.349999,7.5008492,82.20041,ENE,ENE,SE,S,N,14.580451
2025-08-21 17:00:00,1.5398381,0.56,0.53,0.32999998,6.378561,7.7599998,13.599999,9.46,77.75016,149.16,180.65,11.48,8.239171,85.69518,ENE,ENE,SE,S,N,16.01563
