DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-02-23 08:00:00,1.5858114,0.85999995,0.59999996,0.57,10.855404,8.679999,11.01,10.57,209.64899,128.42,188.78,273.56,3.9912844,97.8766,SSW,E,ESE,S,W,7.758418
2025-02-23 11:00:00,1.5450411,0.88,0.59999996,0.53999996,11.099616,8.42,10.88,10.36,206.9154,120.42,187.40999,273.66,5.471257,89.27995,SSW,ENE,ESE,S,W,10.635249
2025-02-23 14:00:00,1.4979284,0.69,0.58,0.51,11.37254,8.25,10.7699995,10.28,204.07849,125.67,187.59,274.46,5.8621974,93.561424,SSW,E,ESE,S,W,11.395174
2025-02-23 17:00:00,1.4551997,0.59999996,0.55,0.48,11.895979,7.93,10.559999,10.33,201.12544,125.81,187.06,274.16,5.159272,118.490746,S,ESE,ESE,S,W,10.0288
2025-02-23 20:00:00,1.4285979,0.53,0.48999998,0.48,12.8525305,10.63,7.81,15.53,195.41469,186.65999,124.78,212.36,4.99211,104.53074,S,E,S,ESE,SSW,9.703863
2025-02-23 23:00:00,1.4757518,0.51,0.5,0.45999998,13.53172,10.41,15.44,10.55,177.69574,185.79,212.19,274.1,5.869921,122.1337,SSE,ESE,S,SSW,W,11.410188
2025-02-24 02:00:00,1.5182015,0.5,0.5,0.48,13.884296,10.29,15.29,10.69,164.06291,185.68,211.83,269.41998,5.195359,115.40798,SSE,ESE,S,SSW,WSW,10.098948
2025-02-24 05:00:00,1.4837785,0.51,0.48,0.45999998,14.407706,14.79,10.25,10.44,160.08224,211.83,185.5,270.19998,4.837843,118.18921,SSE,ESE,SSW,S,W,9.403993
2025-02-24 08:00:00,1.4732844,0.53999996,0.45999998,0.44,14.503916,14.549999,10.16,10.309999,153.96141,211.75,186.0,271.07,6.368608,115.96254,SE,ESE,SSW,S,W,12.379555
2025-02-24 11:00:00,1.4806051,0.55,0.45,0.42,14.263345,14.469999,9.99,10.19,145.39156,211.70999,185.01999,271.11,6.842734,96.79656,SE,E,SSW,S,W,13.30118
2025-02-24 14:00:00,1.5255381,0.53999996,0.42,0.39,13.394167,14.4,9.83,10.04,129.70335,211.67,184.51999,271.22998,6.1624603,78.455025,ESE,ENE,SSW,S,W,11.978837
2025-02-24 17:00:00,1.4942994,0.52,0.37,0.32999998,12.401367,14.25,9.8,8.309999,124.367455,212.40999,272.81,182.18,4.8272448,87.56641,ESE,ENE,SSW,W,S,9.383391
2025-02-24 20:00:00,1.4281206,0.5,0.39,0.35,12.199698,13.84,9.53,9.59,126.68312,212.15999,184.93,272.47,3.5085516,81.17933,ESE,ENE,SSW,S,W,6.820063
2025-02-24 23:00:00,1.3624525,0.51,0.37,0.32999998,12.507864,13.63,8.11,9.2699995,128.78134,213.03,183.23,273.62,3.1043074,83.22199,ESE,ENE,SSW,S,W,6.034277
2025-02-25 02:00:00,1.3014169,0.5,0.32,0.31,12.563203,13.58,9.17,7.99,131.82852,212.37,272.61,178.48999,2.0032856,79.42862,ESE,ENE,SSW,W,SSE,3.8940668
2025-02-25 05:00:00,1.2572335,0.48999998,0.29,0.26,12.472334,13.57,7.87,8.97,131.88567,212.54,177.87999,273.77,2.3365238,80.184654,ESE,ENE,SSW,SSE,W,4.5418286
2025-02-25 08:00:00,1.2186389,0.47,0.29999998,0.24,12.602523,13.5199995,7.7599998,8.78,131.71109,212.2,176.81,272.5,3.389981,88.16604,ESE,ENE,SSW,SSE,W,6.589581
2025-02-25 11:00:00,1.1910841,0.45999998,0.29999998,0.22999999,12.712722,13.42,7.7599998,8.71,130.79831,212.01,176.84999,272.19,4.5530906,97.21289,ESE,E,SSW,SSE,W,8.85048
2025-02-25 14:00:00,1.1937456,0.45,0.34,0.29999998,12.747778,13.259999,7.1299996,10.38,122.219246,211.87,102.42,272.96,4.7142963,82.97688,ESE,ENE,SSW,E,W,9.163838
2025-02-25 17:00:00,1.156674,0.45,0.29999998,0.29,12.466447,12.98,7.48,10.2699995,124.14939,211.39,178.64,272.93,4.584462,95.06955,ESE,E,SSW,SSE,W,8.911461
2025-02-25 20:00:00,1.1256784,0.42999998,0.29,0.28,12.002012,12.799999,10.219999,7.3799996,123.51682,211.37999,272.88998,178.84999,3.9012525,85.50761,ESE,ENE,SSW,W,SSE,7.5834107
2025-02-25 23:00:00,1.1159203,0.42,0.28,0.26,11.570311,12.71,10.12,7.37,121.05611,211.34999,272.74,179.01,3.5812976,85.52366,ESE,ENE,SSW,W,SSE,6.9614697
2025-02-26 02:00:00,1.1041585,0.42,0.26999998,0.25,11.424886,12.66,10.13,15.7699995,122.078125,211.11,272.66998,209.4,3.0231545,85.27101,ESE,ENE,SSW,W,SSW,5.8765287
2025-02-26 05:00:00,1.1117351,0.39999998,0.34,0.26,12.894564,15.21,12.13,10.13,126.73545,209.53,210.45,272.00998,2.8952975,93.5506,ESE,E,SSW,SSW,W,5.627995
2025-02-26 08:00:00,1.144186,0.58,0.25,0.21,14.663556,14.57,10.05,7.0099998,135.40855,209.67,272.1,179.22,4.462378,103.56705,SE,E,SSW,W,SSE,8.674149
2025-02-26 11:00:00,1.2093637,0.65,0.24,0.17999999,14.582517,14.28,9.889999,7.0,144.18834,208.72,271.62,177.54,5.365132,96.15565,SE,E,SSW,W,SSE,10.428958
2025-02-26 14:00:00,1.3007027,0.75,0.22999999,0.16,13.988767,13.79,9.76,16.73,157.47723,207.4,271.22998,318.62,5.779426,98.43954,SE,E,SSW,W,NW,11.23428
2025-02-26 17:00:00,1.4510608,0.81,0.35,0.21,14.43166,13.5,17.32,9.67,169.83612,208.39,192.34,270.93,6.0511203,114.646576,SSE,ESE,SSW,S,W,11.76241
2025-02-26 20:00:00,1.677872,0.83,0.65,0.22,15.583003,13.03,16.02,16.38,177.7502,208.98999,196.06,319.46,4.9429874,112.99714,SSE,ESE,SSW,S,NW,9.6083765
2025-02-26 23:00:00,1.9259398,1.0699999,0.7,0.21,15.394034,15.49,12.34,16.08,184.91609,199.39,215.42,318.22998,5.1746316,110.38857,S,E,S,SSW,NW,10.058656
2025-02-27 02:00:00,2.1663904,1.4599999,0.22,0.0,14.953303,15.08,15.599999,0.0,186.67978,202.47,318.99,0.0,4.8231406,104.69715,S,E,S,NW,N,9.375414
2025-02-27 05:00:00,2.3660963,1.5999999,0.22999999,0.13,14.518552,14.54,15.44,9.389999,185.85164,201.17,319.18,277.44,4.2194943,105.37509,S,E,S,NW,W,8.202022
2025-02-27 08:00:00,2.4896317,1.62,0.57,0.22999999,14.045778,14.23,17.699999,15.299999,185.63388,202.36,187.87999,318.96,5.848477,96.580025,S,E,S,S,NW,11.368504
