DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-03-12 00:00:00,1.16,0.85999995,0.41,0.35,17.869999,6.8799996,12.41,17.97,216.54,309.72998,219.95999,214.56,2.1251154,336.23074,SSW,NW,WNW,SSW,SSW,4.130884
2025-03-12 03:00:00,1.12,0.71,0.51,0.47,17.779999,6.52,12.3,17.81,216.98,310.57,210.48999,215.79999,1.6825153,15.128196,SSW,N,WNW,SSW,SSW,3.2705405
2025-03-12 06:00:00,1.1,0.59,0.58,0.53999996,17.76,6.14,12.05,17.779999,216.62001,310.75,196.89,215.2,1.656638,58.830162,SSW,NE,WNW,S,SSW,3.2202394
2025-03-12 09:00:00,1.0699999,0.62,0.53,0.48999998,17.72,11.759999,17.76,5.79,215.53,191.87999,213.54,311.97,2.2330294,116.021385,SSW,ESE,S,SSW,WNW,4.340652
2025-03-12 12:00:00,1.05,0.53,0.48,0.39999998,17.63,17.66,11.13,5.48,213.81001,209.43,186.26,313.28998,4.5935626,150.43547,SSW,SE,SSW,S,WNW,8.929151
2025-03-12 15:00:00,1.05,0.56,0.47,0.34,17.26,17.289999,11.0199995,14.5199995,210.62,206.42,186.84999,221.45,4.522179,198.67375,SSW,S,SSW,S,SSW,8.790393
2025-03-12 18:00:00,1.09,0.63,0.48,0.34,16.63,16.68,10.98,5.5299997,211.51,206.62,187.73,119.38,3.2494707,230.42726,SSW,SW,SSW,S,ESE,6.316451
2025-03-12 21:00:00,1.13,0.78,0.57,0.29999998,16.529999,16.539999,11.57,5.31,213.81999,211.26,199.73,119.619995,3.3070033,294.01733,SSW,WNW,SSW,S,ESE,6.428285
2025-03-13 00:00:00,1.13,0.81,0.57,0.17,16.49,16.5,11.59,15.059999,215.42001,212.0,198.98,289.81,1.6617568,309.38962,SSW,WNW,SSW,S,W,3.2301893
2025-03-13 03:00:00,1.14,0.79999995,0.48999998,0.29999998,16.46,16.47,10.469999,6.96,215.39001,211.56,191.0,125.59,2.6164231,279.3311,SSW,W,SSW,S,ESE,5.085908
2025-03-13 06:00:00,1.16,0.77,0.48999998,0.39999998,16.41,16.42,10.45,6.58,214.06999,210.09999,192.45,127.909996,1.9805712,335.77844,SSW,NW,SSW,S,ESE,3.8499136
2025-03-13 09:00:00,1.17,0.78,0.47,0.34,16.23,16.24,6.33,10.32,213.52,209.79,127.2,184.8,1.1927773,250.46239,SSW,WSW,SSW,ESE,S,2.3185682
2025-03-13 12:00:00,1.18,0.78999996,0.53,0.5,15.0,15.089999,11.05,6.19,210.23001,209.01999,199.87,125.74,3.0710874,217.28091,SSW,SSW,SSW,S,ESE,5.9697027
2025-03-13 15:00:00,1.17,0.82,0.52,0.48,15.259999,15.2699995,11.0199995,6.17,214.72002,209.90999,198.76,124.759995,4.082342,239.14717,SSW,SW,SSW,S,ESE,7.93542
2025-03-13 18:00:00,1.15,0.75,0.51,0.42999998,15.33,15.42,10.98,5.94,216.09999,209.45,198.14,124.25,4.253639,252.28775,SSW,WSW,SSW,S,ESE,8.268394
2025-03-13 21:00:00,1.12,0.61,0.58,0.48,15.36,15.48,13.59,10.75,216.94002,210.62,211.56999,194.59,3.7489884,284.50632,SSW,W,SSW,SSW,S,7.2874336
2025-03-14 00:00:00,1.1,0.68,0.48,0.47,15.37,13.69,15.559999,10.45,217.48999,206.56999,219.01,194.3,3.2049131,305.98962,SSW,WNW,SSW,SSW,S,6.2298384
2025-03-14 03:00:00,1.1,0.7,0.47,0.42999998,15.36,13.65,10.46,15.549999,218.15,207.22,193.06,221.59,2.3194978,322.46588,SSW,NW,SSW,S,SSW,4.508733
2025-03-14 06:00:00,1.11,0.7,0.47,0.41,13.62,13.59,10.41,15.5199995,209.25002,206.43,195.39,223.01,1.1312201,288.17224,SSW,W,SSW,S,SSW,2.198911
2025-03-14 09:00:00,1.12,0.72999996,0.45999998,0.35999998,13.63,13.509999,10.36,15.44,208.46,207.15999,196.14,223.81999,1.4160237,262.03824,SSW,WSW,SSW,S,SSW,2.7525237
2025-03-14 12:00:00,1.12,0.77,0.42999998,0.34,13.87,13.809999,10.12,5.37,208.79001,209.39,192.42,127.45,2.7788253,235.26068,SSW,SW,SSW,S,ESE,5.401592
2025-03-14 15:00:00,1.12,0.69,0.45,0.42,14.33,12.83,14.58,10.11,223.08002,205.08,225.98,192.68,3.4877548,240.79391,SSW,SW,SSW,SW,S,6.7796373
2025-03-14 18:00:00,1.13,0.78,0.48,0.32999998,14.389999,12.719999,14.5199995,14.4,224.28001,201.94,222.78,289.18,3.1456747,246.47668,SSW,SW,S,SSW,W,6.1146884
2025-03-14 21:00:00,1.16,0.79999995,0.45999998,0.34,14.41,12.71,14.549999,14.2,224.72002,203.12999,223.06,289.18,3.5738366,267.37396,SSW,WSW,SSW,SSW,W,6.9469666
2025-03-15 00:00:00,1.16,0.69,0.45999998,0.39999998,14.41,12.65,14.57,9.99,224.40001,206.79,221.9,192.84,2.9788737,273.67053,SSW,W,SSW,SSW,S,5.790454
2025-03-15 03:00:00,1.14,0.68,0.45999998,0.39,14.38,12.59,14.549999,9.84,223.52,206.75,221.48999,192.67,3.0270805,279.09976,SSW,W,SSW,SSW,S,5.8841605
2025-03-15 06:00:00,1.13,0.68,0.44,0.37,14.29,12.5,14.5199995,9.63,222.63,207.51999,220.95,190.23,2.5330284,311.46826,SSW,WNW,SSW,SSW,S,4.923802
2025-03-15 09:00:00,1.12,0.74,0.35999998,0.35999998,14.12,14.21,9.55,13.299999,222.08,209.11,191.39,289.19998,1.7419896,217.11382,SSW,SSW,SSW,S,W,3.3861492
2025-03-15 12:00:00,1.11,0.56,0.55,0.37,13.66,14.12,11.74,12.059999,228.53001,218.48999,208.26999,181.15,2.9857936,233.05473,SW,SW,SSW,SSW,S,5.803905
2025-03-15 15:00:00,1.1,0.57,0.48999998,0.42,13.59,11.75,13.82,12.16,226.31999,210.18,221.83,183.84,3.4757373,237.24683,SW,SW,SSW,SSW,S,6.7562776
2025-03-15 18:00:00,1.09,0.56,0.53,0.34,13.54,11.719999,13.7,12.719999,224.43001,211.26999,217.95,289.16,2.3185046,243.26581,SSW,SW,SSW,SSW,W,4.506802
2025-03-15 21:00:00,1.0799999,0.56,0.53999996,0.51,13.48,5.8799996,11.73,13.61,222.89001,303.08,215.23999,220.20999,0.92678046,265.75677,SSW,WSW,WNW,SSW,SSW,1.801513
2025-03-16 00:00:00,1.0799999,0.71999997,0.56,0.39999998,13.429999,13.5199995,6.0499997,11.389999,221.48,219.45,302.36,172.42,1.2100072,313.7717,SSW,WNW,SSW,WNW,SSE,2.3520603
2025-03-16 03:00:00,1.09,0.75,0.57,0.41,13.41,13.48,6.12,11.2,220.01999,218.29,302.16998,172.93,1.7450165,304.5541,SSW,WNW,SSW,WNW,SSE,3.3920329
2025-03-16 06:00:00,1.0799999,0.71999997,0.56,0.37,13.389999,13.41,6.1099997,11.63,218.56999,217.73,302.13,169.93,0.943057,26.11024,SSW,NNE,SSW,WNW,SSE,1.8331519
2025-03-16 09:00:00,1.06,0.7,0.53,0.39,13.349999,13.44,6.06,11.469999,217.41,218.56,302.11,172.34,0.84176093,215.6432,SSW,SSW,SSW,WNW,SSE,1.6362486
2025-03-16 12:00:00,1.03,0.69,0.5,0.39999998,13.2,13.349999,5.98,10.65,216.81001,219.15999,303.21,172.51,2.2686312,194.06465,SSW,S,SSW,WNW,SSE,4.4098563
2025-03-16 15:00:00,1.02,0.83,0.26,0.19,12.599999,12.7,11.28,16.609999,219.98999,206.14,289.04,227.48999,2.6786668,227.71138,SSW,SW,SSW,W,SW,5.2068996
2025-03-16 18:00:00,1.02,0.68,0.48999998,0.48999998,12.57,12.78,5.7,10.58,218.76,219.12999,305.71,179.65999,2.4396124,248.24292,SSW,WSW,SSW,WNW,SSE,4.742216
2025-03-16 21:00:00,1.02,0.71,0.41,0.25,12.599999,12.719999,11.54,11.08,217.29999,217.42,172.29,288.96,2.8402333,287.5169,SSW,W,SSW,SSE,W,5.5209594
2025-03-17 00:00:00,1.02,0.64,0.47,0.31,12.639999,12.799999,11.389999,10.75,216.03,217.73999,178.98999,220.95999,3.077694,315.9895,SSW,NW,SSW,SSE,SSW,5.982545
2025-03-17 03:00:00,1.01,0.59,0.45999998,0.35,12.71,12.88,5.37,10.83,215.35,218.0,308.94,218.23,1.647994,335.40616,SSW,NW,SSW,WNW,SSW,3.2034369
2025-03-17 06:00:00,1.01,0.59,0.42999998,0.42999998,12.83,12.96,5.27,10.86,215.26,214.15,308.84,175.66,2.1845691,68.894424,SSW,ENE,SSW,WNW,SSE,4.246453
