DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-03-25 14:00:00,1.51,0.65,0.65,0.53999996,9.08,10.4,8.54,7.79,204.31999,199.61,103.28,166.95,8.077892,234.16147,SSW,SW,S,E,SSE,15.70213
2025-03-25 17:00:00,1.5899999,0.64,0.62,0.53,15.58,11.969999,8.599999,7.6,201.6,198.81,100.09,160.01999,7.3796377,231.84764,S,SW,S,E,SSE,14.344835
2025-03-25 20:00:00,1.8299999,0.56,0.56,0.48999998,8.639999,8.58,12.36,15.38,216.74,98.29,192.44,199.95,7.8347025,263.26328,SSW,WSW,E,S,S,15.229408
2025-03-25 23:00:00,2.52,0.59,0.58,0.0,10.38,14.94,8.07,0.0,224.1,197.73999,112.09,0.0,7.2207947,276.64185,SSW,W,S,E,N,14.03607
2025-03-26 02:00:00,2.8,0.5,0.0,0.0,10.76,8.01,0.0,0.0,228.34999,107.799995,0.0,0.0,6.8579526,284.5127,SW,W,E,N,N,13.330763
2025-03-26 05:00:00,2.6799998,0.45,0.0,0.0,10.389999,8.21,0.0,0.0,236.04001,106.17,0.0,0.0,6.2379775,280.59152,SW,W,E,N,N,12.12563
2025-03-26 08:00:00,2.45,0.42999998,0.35999998,0.0,9.83,8.21,14.33,0.0,239.59001,105.67,208.78,0.0,5.9273505,284.1106,SW,W,E,SSW,N,11.521821
2025-03-26 11:00:00,2.29,0.77,0.41,0.0,9.42,13.58,8.05,0.0,235.18001,198.20999,104.11,0.0,7.1459565,255.10251,SW,WSW,S,E,N,13.890596
2025-03-26 14:00:00,2.18,0.83,0.48999998,0.38,9.04,11.469999,14.059999,8.139999,234.4,207.01,186.04,103.17,8.71808,238.02393,SW,SW,SSW,S,E,16.946552
2025-03-26 17:00:00,2.06,0.66999996,0.66999996,0.35,8.91,12.63,13.509999,8.29,230.76,212.25,186.37999,101.03,7.306335,230.75665,SW,SW,SSW,S,E,14.202347
