DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-05-23 02:00:00,4.1,0.0,0.0,0.0,14.09,0.0,0.0,0.0,244.97002,0.0,0.0,0.0,9.7764225,227.50871,SW,SW,N,N,N,19.003801
2025-05-23 05:00:00,4.19,0.0,0.0,0.0,13.65,0.0,0.0,0.0,242.38,0.0,0.0,0.0,9.667191,218.6531,SW,SSW,N,N,N,18.791471
2025-05-23 08:00:00,4.3399997,0.0,0.0,0.0,13.509999,0.0,0.0,0.0,242.51001,0.0,0.0,0.0,10.854746,210.67142,SW,SSW,N,N,N,21.09989
2025-05-23 11:00:00,4.3399997,0.0,0.0,0.0,13.46,0.0,0.0,0.0,242.65,0.0,0.0,0.0,9.685928,202.95499,SW,SSW,N,N,N,18.827896
2025-05-23 14:00:00,4.2599998,0.0,0.0,0.0,13.37,0.0,0.0,0.0,243.01001,0.0,0.0,0.0,10.014664,204.56575,SW,SSW,N,N,N,19.466904
2025-05-23 17:00:00,4.08,0.0,0.0,0.0,13.16,0.0,0.0,0.0,243.41,0.0,0.0,0.0,8.949219,197.81313,SW,S,N,N,N,17.39585
2025-05-23 20:00:00,3.87,3.87,0.0,0.0,12.87,12.87,0.0,0.0,240.72,232.42,0.0,0.0,8.085025,196.57158,SW,S,SW,N,N,15.715995
2025-05-23 23:00:00,3.73,3.73,0.0,0.0,12.799999,12.799999,0.0,0.0,240.89001,231.79,0.0,0.0,5.7463064,194.89441,SW,S,SW,N,N,11.169901
2025-05-24 02:00:00,3.56,3.56,0.0,0.0,12.82,12.82,0.0,0.0,241.0,232.12,0.0,0.0,4.978988,222.07535,SW,SSW,SW,N,N,9.678356
2025-05-24 05:00:00,3.4199998,3.4199998,0.0,0.0,12.849999,12.849999,0.0,0.0,240.93,231.98999,0.0,0.0,6.956458,240.54117,SW,SW,SW,N,N,13.522242
2025-05-24 08:00:00,3.28,3.28,0.0,0.0,12.74,12.74,0.0,0.0,240.73001,232.18999,0.0,0.0,8.155277,242.0734,SW,SW,SW,N,N,15.852554
2025-05-24 11:00:00,3.1399999,3.1399999,0.0,0.0,12.59,12.59,0.0,0.0,240.63,231.59,0.0,0.0,7.5207047,246.28296,SW,SW,SW,N,N,14.619047
2025-05-24 14:00:00,3.05,3.05,0.0,0.0,12.45,12.45,0.0,0.0,240.68,231.43,0.0,0.0,8.3343725,246.19083,SW,SW,SW,N,N,16.200687
2025-05-24 17:00:00,2.9199998,2.9199998,0.0,0.0,12.34,12.34,0.0,0.0,240.53001,231.40999,0.0,0.0,8.921923,251.5326,SW,WSW,SW,N,N,17.34279
2025-05-24 20:00:00,2.86,0.0,0.0,0.0,12.139999,0.0,0.0,0.0,235.75,0.0,0.0,0.0,10.817337,245.01987,SW,SW,N,N,N,21.027172
2025-05-24 23:00:00,3.0,0.0,0.0,0.0,11.91,0.0,0.0,0.0,235.81,0.0,0.0,0.0,10.928647,241.24084,SW,SW,N,N,N,21.243542
2025-05-25 02:00:00,2.98,0.0,0.0,0.0,11.74,0.0,0.0,0.0,235.97002,0.0,0.0,0.0,10.7955885,242.25168,SW,SW,N,N,N,20.984898
2025-05-25 05:00:00,3.1899998,0.0,0.0,0.0,11.57,0.0,0.0,0.0,235.24,0.0,0.0,0.0,9.917276,227.59012,SW,SW,N,N,N,19.2776
2025-05-25 08:00:00,3.3,0.0,0.0,0.0,11.09,0.0,0.0,0.0,225.33002,0.0,0.0,0.0,9.037992,201.24098,SW,S,N,N,N,17.568409
2025-05-25 11:00:00,3.52,0.0,0.0,0.0,10.84,0.0,0.0,0.0,223.79,0.0,0.0,0.0,9.627705,182.24498,SSW,S,N,N,N,18.714718
2025-05-25 14:00:00,3.52,0.0,0.0,0.0,10.809999,0.0,0.0,0.0,223.0,0.0,0.0,0.0,8.883154,180.06468,SSW,S,N,N,N,17.26743
2025-05-25 17:00:00,3.33,3.33,0.0,0.0,10.889999,10.889999,0.0,0.0,222.69,213.94,0.0,0.0,7.7237687,162.92851,SSW,SSE,SSW,N,N,15.013771
2025-05-25 20:00:00,3.23,3.23,0.0,0.0,11.04,11.04,0.0,0.0,220.96,214.09,0.0,0.0,6.7603617,148.07152,SSW,SE,SSW,N,N,13.141062
2025-05-25 23:00:00,3.1999998,3.1999998,0.0,0.0,11.42,11.42,0.0,0.0,218.11002,215.43,0.0,0.0,4.6074834,133.06969,SSW,ESE,SSW,N,N,8.956211
2025-05-26 02:00:00,3.26,3.26,0.0,0.0,13.4,13.4,0.0,0.0,225.65001,216.65999,0.0,0.0,4.2109904,128.28087,SW,ESE,SSW,N,N,8.185492
2025-05-26 05:00:00,3.32,3.32,0.0,0.0,13.7,13.7,0.0,0.0,225.84999,217.12,0.0,0.0,4.802149,108.69033,SW,E,SSW,N,N,9.334609
2025-05-26 08:00:00,3.29,3.29,0.0,0.0,14.219999,14.219999,0.0,0.0,229.68001,217.43,0.0,0.0,5.847161,90.09628,SW,E,SSW,N,N,11.365945
2025-05-26 11:00:00,3.1899998,3.1899998,0.0,0.0,14.29,14.29,0.0,0.0,229.92,217.72,0.0,0.0,4.4376636,80.76362,SW,ENE,SSW,N,N,8.626108
2025-05-26 14:00:00,3.06,3.06,0.0,0.0,14.11,14.11,0.0,0.0,230.22,218.20999,0.0,0.0,4.924048,108.58784,SW,E,SSW,N,N,9.571562
2025-05-26 17:00:00,2.9399998,2.9399998,0.0,0.0,13.759999,13.759999,0.0,0.0,226.83,218.34999,0.0,0.0,4.3395495,84.46766,SW,ENE,SSW,N,N,8.43539
2025-05-26 20:00:00,2.82,2.82,0.0,0.0,13.44,13.44,0.0,0.0,227.04999,217.45,0.0,0.0,6.777014,74.86713,SW,ENE,SSW,N,N,13.17343
2025-05-26 23:00:00,2.75,2.6399999,0.0,0.0,13.24,13.24,0.0,0.0,227.45999,217.92,0.0,0.0,5.640191,85.342514,SW,ENE,SSW,N,N,10.963629
2025-05-27 02:00:00,2.6399999,2.49,0.0,0.0,12.91,12.91,0.0,0.0,222.29999,217.59999,0.0,0.0,7.9593153,79.55373,SSW,ENE,SSW,N,N,15.471636
2025-05-27 05:00:00,2.51,2.35,0.0,0.0,12.62,12.62,0.0,0.0,222.35,217.12999,0.0,0.0,9.545244,71.08885,SSW,ENE,SSW,N,N,18.554428
2025-05-27 08:00:00,2.4299998,2.18,0.22,0.0,12.469999,12.469999,20.08,0.0,222.66,216.33,248.23,0.0,10.133203,65.422554,SSW,NE,SSW,WSW,N,19.697325
2025-05-27 11:00:00,2.33,2.02,0.0,0.0,12.19,12.19,0.0,0.0,216.56,216.12999,0.0,0.0,7.8303833,52.892643,SSW,NE,SSW,N,N,15.221012
2025-05-27 14:00:00,2.1399999,1.8499999,0.32,0.0,11.86,11.86,18.99,0.0,216.28001,214.61,246.62,0.0,5.2996044,37.956802,SSW,NNE,SSW,SW,N,10.301583
2025-05-27 17:00:00,1.93,1.6899999,0.35999998,0.16,11.71,11.71,18.859999,16.59,216.15001,213.12999,244.81,249.92,3.3545911,59.665165,SSW,NE,SSW,SW,WSW,6.5207887
2025-05-27 20:00:00,1.78,1.55,0.32999998,0.32,11.45,11.45,18.88,16.529999,209.22002,211.36,246.53,242.62,7.57503,83.784546,SSW,ENE,SSW,SW,SW,14.724647
2025-05-27 23:00:00,1.79,1.4,0.47,0.22,11.11,11.11,17.88,15.42,208.27,209.28,243.98,251.36,9.35515,68.67633,SSW,ENE,SSW,SW,WSW,18.184916
2025-05-28 02:00:00,1.8299999,1.25,0.44,0.32,10.96,10.96,17.89,15.46,207.78001,207.67,246.56,242.62,10.560242,61.275566,SSW,NE,SSW,SW,SW,20.52742
2025-05-28 05:00:00,1.89,1.13,0.52,0.13,10.719999,10.719999,17.74,22.66,207.16,206.64,246.43999,262.08,10.354061,54.558887,SSW,NE,SSW,SW,WSW,20.126638
2025-05-28 08:00:00,1.92,0.93,0.53,0.32999998,10.41,10.41,17.26,12.179999,200.06001,199.31,246.20999,237.45,10.734405,49.107925,S,NE,S,SW,SW,20.865965
2025-05-28 11:00:00,1.92,0.83,0.55,0.29999998,16.82,10.26,16.82,12.3,245.31,197.92,246.39,237.58,8.2509365,46.676823,SW,NE,S,SW,SW,16.0385
2025-05-28 14:00:00,1.8,0.74,0.68,0.29,16.71,10.07,16.71,20.58,245.93001,196.03,245.81999,263.0,5.8560405,39.72343,SW,NNE,S,SW,WSW,11.383205
2025-05-28 17:00:00,1.65,0.65999997,0.63,0.38,16.55,9.74,16.55,20.029999,246.91,192.83,246.51999,262.12,5.0969434,71.07882,SW,ENE,S,SW,WSW,9.907642
2025-05-28 20:00:00,1.65,0.71,0.59,0.42999998,16.31,16.31,9.58,19.35,247.95,247.81999,190.73999,263.02,9.310221,68.22304,WSW,ENE,WSW,S,WSW,18.09758
