DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-08-30 02:00:00,1.16,0.64,0.45999998,0.31,14.469999,8.34,14.48,6.7799997,187.61002,150.62,189.84,66.09,4.8887253,97.28109,S,E,SE,S,NE,9.5029
2025-08-30 05:00:00,1.0699999,0.65,0.42,0.29,14.389999,8.3,14.4,6.75,187.64001,151.05,191.40999,70.03,4.9286075,101.20887,S,E,SE,S,ENE,9.580424
2025-08-30 08:00:00,1.04,0.63,0.42999998,0.24,14.29,8.25,14.299999,7.31,187.53001,152.25,190.03,11.71,5.57208,103.6232,S,E,SE,S,N,10.831232
2025-08-30 11:00:00,1.06,0.65,0.42999998,0.22999999,14.03,8.16,14.049999,7.2799997,187.40001,150.91,189.53,13.07,5.3124466,96.1158,S,E,SE,S,N,10.326547
2025-08-30 14:00:00,1.04,0.55,0.42999998,0.35,13.719999,7.71,13.75,9.76,186.28001,153.45,188.76999,144.66,4.7465672,82.83073,S,ENE,SE,S,SE,9.226567
2025-08-30 17:00:00,1.0699999,0.45,0.44,0.39999998,13.599999,7.5299997,9.11,13.63,185.78001,158.93,145.54,189.09,4.8271775,79.521355,S,ENE,SSE,SE,S,9.383261
2025-08-30 20:00:00,1.04,0.65,0.39,0.26,13.53,8.2699995,13.58,6.83,185.48,151.81,189.33,70.64,5.6970687,86.778275,S,ENE,SE,S,ENE,11.07419
2025-08-30 23:00:00,1.01,0.66999996,0.59,0.41,13.5199995,8.88,8.51,13.57,184.99,151.34999,66.01,188.55,5.4528203,100.21558,S,E,SE,NE,S,10.59941
2025-08-31 02:00:00,1.01,0.68,0.41,0.21,9.09,8.91,13.67,10.07,121.46999,150.87,188.33,339.0,4.9289804,105.34215,ESE,E,SE,S,NNW,9.581149
2025-08-31 05:00:00,1.02,0.69,0.39,0.38,9.4,8.929999,8.45,14.15,111.76999,151.3,63.39,189.34999,4.0471926,104.27342,E,E,SE,NE,S,7.867095
2025-08-31 08:00:00,1.02,0.68,0.35999998,0.35999998,9.19,8.92,9.28,14.11,82.62999,151.51999,343.00998,189.26,3.5958834,98.971115,ENE,E,SE,NNW,S,6.989822
2025-08-31 11:00:00,1.03,0.66999996,0.44,0.34,8.79,8.929999,8.82,13.03,44.519993,152.06,344.22998,189.34999,4.146235,95.19378,NNE,E,SE,NNW,S,8.059618
2025-08-31 14:00:00,1.04,0.66999996,0.51,0.45,8.51,9.0199995,8.48,8.28,19.339998,151.45999,345.38998,65.439995,4.018363,92.768745,N,E,SE,NNW,NE,7.8110547
2025-08-31 17:00:00,1.04,0.66999996,0.56,0.42,8.29,9.2699995,8.22,8.01,18.66,150.87999,347.68,64.79,4.7775993,94.288765,N,E,SE,NNW,NE,9.286889
2025-08-31 20:00:00,1.05,0.68,0.58,0.39999998,8.04,9.25,7.98,7.87,12.989998,150.25,348.66998,63.85,4.7612405,97.18999,N,E,SE,NNW,NE,9.25509
2025-08-31 23:00:00,1.0699999,0.62,0.59,0.39,7.95,8.849999,7.87,7.81,19.559998,151.83,349.75998,63.77,4.5278544,97.076614,N,E,SE,NNW,NE,8.801425
2025-09-01 02:00:00,1.0799999,0.72999996,0.59,0.38,7.9199996,8.99,7.7599998,7.73,35.68,150.06999,350.85,65.76,4.22187,91.88973,NNE,E,SE,NNW,NE,8.20664
2025-09-01 05:00:00,1.11,0.75,0.59999996,0.39,8.0199995,8.7,7.6299996,7.5,56.519997,149.68,352.1,67.6,4.6001887,93.37209,NE,E,SE,NNW,ENE,8.942031
2025-09-01 08:00:00,1.15,0.76,0.59999996,0.39999998,8.179999,8.55,7.85,7.44,85.689995,149.48,353.19,69.01,4.879245,96.214676,ENE,E,SE,NNW,ENE,9.484471
2025-09-01 11:00:00,1.2099999,0.77,0.58,0.5,12.54,8.41,7.96,12.63,16.84,148.66,353.33,9.349999,6.9772463,95.27402,N,E,SE,NNW,N,13.562651
2025-09-01 14:00:00,1.31,0.82,0.71999997,0.55,12.009999,8.389999,12.05,7.8999996,15.009999,140.39,8.55,353.66998,6.3785152,89.85334,N,ENE,SE,N,NNW,12.398813
2025-09-01 17:00:00,1.48,0.89,0.75,0.53999996,11.67,11.69,8.8,7.8399997,10.659999,7.95,149.67,355.12,5.8776436,91.294174,N,E,N,SE,NNW,11.425199
2025-09-01 20:00:00,1.5699999,1.03,0.65999997,0.59999996,11.19,11.21,4.4,7.73,11.25,7.1,72.85,151.98999,5.904483,83.83456,N,ENE,N,ENE,SE,11.47737
2025-09-01 23:00:00,1.5999999,1.18,0.75,0.63,10.95,10.96,8.82,4.48,9.74,5.23,150.72,74.86,5.885377,89.194984,N,ENE,N,SE,ENE,11.440231
2025-09-02 02:00:00,1.5999999,1.18,0.74,0.32,10.75,10.7699995,8.57,14.79,9.639998,5.2799997,150.53,185.84999,5.596683,92.93836,N,E,N,SE,S,10.879057
2025-09-02 05:00:00,1.5999999,1.15,0.71999997,0.32,10.429999,10.45,8.429999,14.679999,10.429998,5.31,150.86,185.56999,5.3467307,86.16568,N,ENE,N,SE,S,10.393189
2025-09-02 08:00:00,1.56,1.11,0.72999996,0.32999998,10.26,10.2699995,8.19,13.929999,10.439999,5.33,151.31,321.62,6.971848,81.443085,N,ENE,N,SE,NW,13.552157
2025-09-02 11:00:00,1.54,1.06,0.61,0.38,10.13,10.139999,7.7599998,10.11,11.099998,5.33,154.51,141.77,6.1299667,87.63738,N,ENE,N,SE,SE,11.915675
2025-09-02 14:00:00,1.4699999,1.0,0.62,0.37,9.82,9.82,7.91,13.44,12.029999,5.33,154.17,321.66,5.8011136,92.13448,N,E,N,SE,NW,11.276437
2025-09-02 17:00:00,1.4399999,0.95,0.69,0.39,9.59,9.599999,7.89,13.11,12.109999,5.29,150.94,321.58,6.1257534,86.47302,N,ENE,N,SE,NW,11.907485
2025-09-02 20:00:00,1.4,0.89,0.66999996,0.39999998,9.45,9.46,7.83,12.92,12.95,5.35,151.23999,321.91,5.892791,88.04866,N,ENE,N,SE,NW,11.454642
2025-09-02 23:00:00,1.31,0.84999996,0.66999996,0.41,9.16,9.16,7.72,12.69,14.319998,5.2799997,150.84999,321.91998,5.9677205,97.47594,N,E,N,SE,NW,11.600294
2025-09-03 02:00:00,1.25,0.79999995,0.65999997,0.42999998,8.95,8.95,10.11,3.73,14.239998,5.3399997,150.34,72.99,5.7516704,92.50944,N,E,N,SE,ENE,11.180327
2025-09-03 05:00:00,1.23,0.76,0.65,0.41,8.82,8.84,7.37,12.49,15.149999,5.3399997,150.62,322.22,5.801161,93.253815,N,E,N,SE,NW,11.276528
2025-09-03 08:00:00,1.28,0.71,0.59,0.41,8.55,8.599999,7.04,12.24,18.3,5.25,152.44,322.41998,6.164509,92.96612,N,E,N,SE,NW,11.982819
2025-09-03 11:00:00,1.24,0.66999996,0.58,0.39999998,8.38,8.4,6.64,11.92,18.4,5.3399997,152.79,322.61,7.0922103,91.77132,N,E,N,SE,NW,13.786122
2025-09-03 14:00:00,1.16,0.63,0.48,0.39,8.309999,8.309999,6.3599997,11.86,19.069998,5.47,152.95999,322.9,6.9440765,86.88128,N,ENE,N,SE,NW,13.498174
2025-09-03 17:00:00,1.13,0.59999996,0.44,0.39,8.21,8.22,9.139999,11.8,21.329998,6.0,148.84999,323.19998,6.858389,80.38549,N,ENE,N,SE,NW,13.331611
2025-09-03 20:00:00,1.11,0.58,0.57,0.38,8.01,10.32,8.0199995,11.58,23.769999,150.67,6.0699997,323.5,5.987853,90.38648,NNE,E,SE,N,NW,11.639428
2025-09-03 23:00:00,1.17,0.58,0.53999996,0.37,7.8799996,7.49,7.89,11.42,26.889996,150.59999,6.43,324.0,6.574836,86.116394,NNE,ENE,SE,N,NW,12.780429
2025-09-04 02:00:00,1.13,0.53,0.48999998,0.37,7.79,7.8199997,7.2,11.2699995,31.089998,7.6099997,151.66,324.49,6.886581,91.32118,NNE,E,N,SE,NW,13.386412
2025-09-04 05:00:00,1.24,0.5,0.48999998,0.35999998,11.04,7.74,6.8999996,11.09,318.78,7.98,152.28,324.94,7.352768,89.995834,NW,ENE,N,SE,NW,14.292604
2025-09-04 08:00:00,1.17,0.48999998,0.45,0.35,10.969999,7.5899997,6.5699997,10.99,321.03,9.33,152.09,325.31,7.856419,91.70618,NW,E,N,SE,NW,15.271622
2025-09-04 11:00:00,1.05,0.47,0.42999998,0.39,10.94,7.48,6.18,10.51,323.8,9.8,148.22,148.36,7.785582,84.9726,NW,ENE,N,SE,SE,15.133926
2025-09-04 14:00:00,1.0,0.57,0.45999998,0.34,10.86,10.03,7.43,10.87,326.9,149.54,10.75,326.24,7.6500387,92.68387,NW,E,SE,N,NW,14.870452
2025-09-04 17:00:00,1.09,0.57,0.45,0.32999998,7.43,9.3,7.43,10.58,44.84,149.78,11.62,326.35,8.110698,88.68634,NNE,ENE,SE,N,NW,15.765899
2025-09-04 20:00:00,1.05,0.47,0.44,0.34,7.41,6.8399997,7.43,9.01,54.029995,149.86,12.75,150.31999,7.5995736,86.680466,NE,ENE,SE,N,SE,14.772355
2025-09-04 23:00:00,1.11,0.57,0.42999998,0.34,7.3799996,6.99,7.43,10.55,71.189995,151.8,13.7,327.06,7.7930746,86.58498,ENE,ENE,SE,N,NW,15.14849
2025-09-05 02:00:00,1.22,0.62,0.42999998,0.35999998,7.2999997,7.0,7.41,10.7699995,92.47999,150.8,14.95,327.55,7.8632946,86.36477,E,ENE,SE,N,NW,15.2849865
