DateTime,Hsig_forecast,swellheight1,swellheight2,swellheight3,Tpeak_forecast,swellperiod1,swellperiod2,swellperiod3,Wdir_forecast,dir1,dir2,dir3,wind_speed,wind_direction,Wdir_comp,Wind_direction_comp,dir1_comp,dir2_comp,dir3_comp,wind_speed_kts
2025-03-24 08:00:00,2.87,1.77,0.14,0.0,15.0,15.009999,13.549999,0.0,185.37001,187.12999,336.94998,0.0,5.222285,109.925255,S,E,S,NW,N,10.151286
2025-03-24 11:00:00,2.79,1.41,0.96999997,0.13,15.11,13.62,15.58,13.48,195.51001,182.29,199.7,335.63998,6.370414,103.21374,S,E,S,S,NW,12.383065
2025-03-24 14:00:00,2.7,1.51,0.7,0.13,13.96,13.91,15.57,13.38,186.68,185.23999,204.12,336.91998,6.1084332,102.522484,S,E,S,SSW,NW,11.873817
2025-03-24 17:00:00,2.62,1.65,0.14999999,0.13,14.21,14.23,22.23,13.179999,195.25002,187.23,202.5,337.15,6.266681,97.94203,S,E,S,SSW,NW,12.181426
2025-03-24 20:00:00,2.61,0.22,0.12,0.06,14.23,21.77,12.88,18.07,197.12999,201.87,338.46,329.75998,4.711945,102.5745,S,E,S,NNW,NW,9.159267
2025-03-24 23:00:00,2.57,1.3299999,0.29,0.11,14.139999,14.15,20.939999,12.75,198.39001,191.55,201.92,338.37,4.0322213,103.275505,S,E,S,S,NNW,7.837993
2025-03-25 02:00:00,2.48,0.38,0.13,0.089999996,13.87,20.42,8.74,12.69,195.82,201.58,23.42,328.43,3.4295194,108.85374,S,E,S,NNE,NW,6.666437
2025-03-25 05:00:00,2.3999999,1.1899999,0.47,0.13,13.5,13.5199995,19.869999,8.65,196.84001,192.29,201.69,24.08,2.5846646,117.45198,S,ESE,S,S,NNE,5.0241747
2025-03-25 08:00:00,2.3,1.09,0.55,0.13,13.32,13.34,19.14,8.63,197.63,193.54,201.45999,24.0,4.571867,104.83696,S,E,S,S,NNE,8.886978
2025-03-25 11:00:00,2.21,1.03,0.63,0.14,18.77,13.21,18.779999,8.66,202.31999,193.79,201.65999,23.869999,5.269436,80.71074,S,ENE,S,S,NNE,10.24294
2025-03-25 14:00:00,2.12,1.76,0.96,0.69,17.94,8.41,12.809999,17.94,205.48001,133.31,194.59,201.84999,4.153845,83.33028,SSW,ENE,ESE,S,S,8.0744095
2025-03-25 17:00:00,2.04,1.68,0.88,0.72999996,17.71,8.36,12.5,17.71,204.37001,134.84,195.26999,201.72,3.2577164,68.60788,SSW,ENE,ESE,S,S,6.3324795
2025-03-25 20:00:00,1.9799999,1.63,0.81,0.76,16.97,8.32,12.36,17.0,206.32,135.48999,196.54,202.28,3.6229048,80.08291,SSW,ENE,SE,S,S,7.0423474
2025-03-25 23:00:00,1.93,1.5699999,0.82,0.75,16.65,8.32,16.65,12.17,206.45001,134.58,202.53,196.15999,2.9317605,66.86985,SSW,NE,ESE,SSW,S,5.6988735
2025-03-26 02:00:00,1.87,1.49,0.85999995,0.71,16.46,8.54,16.46,11.96,205.94,134.36,203.94,193.06999,2.8107843,70.04689,SSW,ENE,ESE,SSW,S,5.463715
2025-03-26 05:00:00,1.8199999,1.4499999,0.84999996,0.59,15.799999,9.01,15.799999,11.719999,207.43001,136.58,205.54,191.76,2.1310105,68.91557,SSW,ENE,SE,SSW,S,4.1423435
2025-03-26 08:00:00,1.78,1.41,0.89,0.53999996,15.559999,8.94,15.57,11.65,208.04001,137.59999,204.89,194.05,4.3393354,86.466324,SSW,ENE,SE,SSW,S,8.434974
2025-03-26 11:00:00,1.73,1.36,0.81,0.53999996,15.429999,8.86,15.41,11.45,207.95001,137.23999,207.61,193.19,4.4897413,64.87555,SSW,NE,SE,SSW,S,8.727339
2025-03-26 14:00:00,1.67,1.31,0.85999995,0.44,15.139999,8.8,15.15,11.25,207.12001,138.43,207.25,188.81999,3.862239,82.25385,SSW,ENE,SE,SSW,S,7.5075746
2025-03-26 17:00:00,1.63,1.27,0.94,0.35999998,14.66,8.73,14.66,11.179999,209.15999,139.73,205.01999,181.76999,2.717499,81.23673,SSW,ENE,SE,SSW,S,5.2823834
2025-03-26 20:00:00,1.5999999,1.27,0.78999996,0.5,14.53,8.66,14.48,16.68,209.24,142.65,209.06,193.58,1.549807,57.99396,SSW,NE,SE,SSW,S,3.0125768
2025-03-26 23:00:00,1.5799999,1.22,0.78999996,0.48999998,14.45,8.73,14.389999,16.59,208.86002,137.37,209.15,193.12999,2.6784356,73.46164,SSW,ENE,SE,SSW,S,5.2064505
2025-03-27 02:00:00,1.56,1.24,0.91999996,0.14999999,14.469999,8.76,14.49,9.0,208.45001,139.84999,204.29,24.57,1.4286935,67.547005,SSW,ENE,SE,SSW,NNE,2.7771516
2025-03-27 05:00:00,1.53,1.1999999,0.91999996,0.14999999,15.29,8.62,15.29,8.98,196.14001,139.42,203.76,26.09,2.0215178,86.60001,S,ENE,SE,SSW,NNE,3.929507
2025-03-27 08:00:00,1.5,1.17,0.65,0.63,15.309999,8.48,13.49,15.42,194.73001,137.79,210.86,195.39,4.324428,87.34275,S,ENE,SE,SSW,S,8.405996
2025-03-27 11:00:00,1.4599999,1.13,0.89,0.16,15.139999,8.4,15.13,19.029999,194.68001,137.45999,203.31999,212.43,5.4003696,75.81534,S,ENE,SE,SSW,SSW,10.497455
2025-03-27 14:00:00,1.43,1.09,0.88,0.16,14.29,8.389999,14.29,16.73,197.87001,137.62999,203.06,327.37,4.6482344,78.164055,S,ENE,SE,SSW,NW,9.035424
2025-03-27 17:00:00,1.4,1.06,0.85999995,0.21,14.24,8.42,14.23,17.91,196.34,137.59999,202.79,210.90999,4.142886,82.303055,S,ENE,SE,SSW,SSW,8.053108
2025-03-27 20:00:00,1.38,1.04,0.84999996,0.22,14.19,8.429999,14.179999,17.789999,196.19002,137.37999,202.26,214.95,3.3522553,78.347946,S,ENE,SE,S,SSW,6.516248
2025-03-27 23:00:00,1.37,1.04,0.83,0.25,14.11,8.38,14.099999,17.74,197.33002,135.76,201.95999,209.79,3.0060782,74.89639,S,ENE,SE,S,SSW,5.843335
2025-03-28 02:00:00,1.35,1.02,0.82,0.22999999,13.75,8.34,13.69,17.48,198.13,135.58,201.45999,216.29999,2.5309536,77.80394,S,ENE,SE,S,SSW,4.919769
2025-03-28 05:00:00,1.3399999,1.01,0.79999995,0.28,13.389999,8.32,13.349999,16.699999,197.61,135.66,201.19,215.34,3.2586064,97.17873,S,E,SE,S,SSW,6.3342094
2025-03-28 08:00:00,1.35,1.01,0.81,0.29,13.309999,8.28,13.29,16.63,198.39001,134.5,201.06,214.68,3.821291,101.51678,S,E,ESE,S,SSW,7.4279785
2025-03-28 11:00:00,1.36,1.02,0.79999995,0.29999998,13.36,8.19,13.32,16.55,199.76,133.36,200.73999,214.7,4.749945,99.12025,S,E,ESE,S,SSW,9.233133
2025-03-28 14:00:00,1.36,1.04,0.78,0.32,13.41,8.08,13.349999,16.02,201.48001,131.86,200.17,214.7,4.6932306,98.02441,S,E,ESE,S,SSW,9.1228895
2025-03-28 17:00:00,1.37,0.77,0.32,0.19,13.4,13.32,15.62,14.36,203.58002,200.11,215.34999,324.82,4.994543,99.6717,SSW,E,S,SSW,NW,9.708592
2025-03-28 20:00:00,1.36,0.76,0.32999998,0.19,13.309999,13.179999,15.549999,13.969999,205.69002,200.51,214.98,323.97998,4.4262257,97.31224,SSW,E,S,SSW,NW,8.603874
2025-03-28 23:00:00,1.36,0.76,0.32,0.19,13.03,12.88,15.53,13.79,200.36,200.61,215.29,323.58,3.1056836,100.00477,S,E,S,SSW,NW,6.036952
2025-03-29 02:00:00,1.36,0.74,0.32999998,0.17999999,12.799999,12.73,15.309999,13.7,200.66,199.61,217.09999,323.81,3.4936514,97.106606,S,E,S,SSW,NW,6.7910995
2025-03-29 05:00:00,1.38,0.7,0.31,0.19999999,12.69,12.65,14.74,15.469999,201.75002,202.15999,212.12,177.95,4.2785444,94.45371,S,E,S,SSW,SSE,8.316806
2025-03-29 08:00:00,1.43,0.66999996,0.35999998,0.19999999,12.63,12.5199995,14.5,15.24,203.82,200.81,215.04999,177.22,5.469148,104.37393,SSW,E,S,SSW,SSE,10.631149
2025-03-29 11:00:00,1.49,0.71,0.32999998,0.21,12.559999,12.49,14.559999,20.09,206.37001,199.73999,215.28,211.54,5.662463,95.31112,SSW,E,S,SSW,SSW,11.006923
2025-03-29 14:00:00,1.53,0.72999996,0.64,0.25,12.469999,12.309999,7.62,19.89,208.38,201.34999,132.12999,210.62999,5.795135,99.43249,SSW,E,S,ESE,SSW,11.264815
2025-03-29 17:00:00,1.52,0.75,0.59,0.31,12.24,12.139999,8.17,19.109999,201.15,202.39,130.19,211.43,5.7018213,97.91803,S,E,S,ESE,SSW,11.083428
2025-03-29 20:00:00,1.51,0.71999997,0.35,0.16,12.17,12.08,18.98,12.809999,202.36,202.11,211.04999,323.06,5.0270267,96.68996,S,E,S,SSW,NW,9.771735
